ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Bladnoch 10 Year Old,235.0,70,0.43,335.71 per litre
 Laphroaig 10 Year Old Cask Strength,235.0,70,0.55,335.71 per litre
 Lagavulin 12 Year Old,235.0,70,0.55,335.71 per litre
 Pittyvaich 1989,245.0,70,0.5,350 per litre
 Isle of Jura 1999,250.0,70,0.61,357.14 per litre
 Longrow 10 Year Old,250.0,70,0.57,357.14 per litre
 Linkwood 12 Year Old,250.0,75,0.4,333.33 per litre
 Longrow 2000,250.0,70,0.56,357.14 per litre
 Highland Park 1991,210.0,70,0.54,300 per litre
 Glentoshan (Auchentoshan) 5 Year Old,250.0,75,0.4,333.33 per litre
 Highland Park 12 Year Old,250.0,100,0.43,
 Glenlivet 18 Year Old,250.0,70,0.43,357.14 per litre
 Glenlivet 16 Year Old,250.0,70,0.52,357.14 per litre
 Glen Elgin 1998,250.0,70,0.55,357.14 per litre
 Miltonduff 1982,250.0,70,0.46,357.14 per litre
 Highland Park 12 Year Old,250.0,100,0.43,
 Miltonduff 1982,250.0,70,0.46,357.14 per litre
 Singleton of Dufftown 1985,255.0,70,0.52,364.29 per litre
 Tomintoul Five Decades,257.0,70,0.5,367.14 per litre
 Aberlour-Glenlivet 8 Year Old,275.0,75,0.43,366.67 per litre
 Glenmorangie 18 Year Old,275.0,70,0.43,392.86 per litre
 Dufftown-Glenlivet 8 Year Old,275.0,75,0.4,366.67 per litre
 Bruichladdich 10 Year Old,275.0,75,0.4,366.67 per litre
 Benromach 17 Year Old,275.0,70,0.43,392.86 per litre
 Aberlour 100 Proof,275.0,100,0.57,
 Glengoyne 8 Year Old,275.0,75.7,0.4,363.28 per litre
 Lagavulin 12 Year Old,275.0,70,0.56,392.86 per litre
 Scapa 12 Year Old,275.0,100,0.4,
Bruichladdich Laddie 22 Year Old,275.0,70,0.46,392.86 per litre
Ardbog (Ardbeg),275.0,70,0.52,392.86 per litre
 Benrinnes 1992,275.0,70,0.57,392.86 per litre
 Benriach 28 Years Old,275.0,70,0.49,392.86 per litre
 Auchroisk 1990,280.0,70,0.51,400 per litre
 Strathmill 25 Year Old,288.0,70,0.52,411.43 per litre
 Aberlour-Glenlivet 8 Year Old,299.0,75,0.5,398.67 per litre
 Aberlour-Glenlivet 12 Year Old,299.0,113,0.4,264.60 per litre
 Dalmore 12 Year Old,299.0,75,0.4,398.67 per litre
 Dufftown-Glenlivet 8 Year Old,299.0,75,0.46,398.67 per litre
 Dufftown-Glenlivet 12 Year Old,299.0,100,0.43,
 Dufftown Centenary,299.0,70,0.56,427.14 per litre
 Glen Deveron 8 Year Old,299.0,75,0.4,398.67 per litre
 Glenmorangie 10 Year Old,299.0,70,0.57,427.14 per litre
Laphroaig 15 Year Old,299.0,70,0.43,427.14 per litre
 Singleton of Auchroisk 1975,299.0,75,0.4,398.67 per litre
 Tamdhu 8 Year Old,299.0,75.7,0.4,394.98 per litre
 Dalmore 12 Year Old,299.0,75,0.4,398.67 per litre
 Glendullan 12 Year Old,299.0,75,0.47,398.67 per litre
 Dalmore 12 Year Old,299.0,75,0.43,398.67 per litre
 Mannochmore 1998,299.0,70,0.59,427.14 per litre
 Benrinnes 1996,299.0,70,0.59,427.14 per litre
 Lagavulin 12 Year Old,299.0,70,0.57,427.14 per litre
 Deanston Mill 8 Year Old,299.0,75,0.4,398.67 per litre
 Glen Elgin 12 Year Old,299.0,75,0.43,398.67 per litre
 Benriach 25 Year Old,299.0,70,0.46,427.14 per litre
 Dufftown-Glenlivet 12 Year Old,299.0,100,0.43,
 Laphroaig 10 Year Old,299.0,50,0.43,598 per litre
 Ardbeg Dark Cove,299.0,70,0.47,427.14 per litre
 Blair Athol 8 Year Old,299.0,75,0.4,398.67 per litre
Macallan Ruby,299.0,75,0.43,398.67 per litre
 Macallan Classic Cut,299.0,70,0.58,427.14 per litre
 Bruichladdich 10 Year Old,299.0,75,0.43,398.67 per litre
 Pittyvaich 28 Year Old,299.0,70,0.52,427.14 per litre
 Dalmore 12 Year Old,299.0,70,0.4,427.14 per litre
 Linkwood 15 Year Old,299.0,75,0.4,398.67 per litre
 Dufftown 15 Year Old,299.0,70,0.43,427.14 per litre
 Oban 14 Year Old,299.0,100,0.43,
 Dalmore 12 Year Old,299.0,70,0.43,427.15 per litre
 Ardbeg 1998,325.0,70,0.54,464.29 per litre
 Glenkinchie 1992,325.0,70,0.58,464.29 per litre
 Highland Park St. Magnus 12 Year Old,325.0,70,0.55,464.29 per litre
 Cragganmore 25 Year Old,325.0,70,0.51,464.29 per litre
 Ardbeg Kildalton,325.0,70,0.46,464.29 per litre
 Linkwood 5 Year Old,325.0,75,0.43,433.33 per litre
 Glenburgie 5 Year Old,325.0,75,0.43,433.33 per litre
 Old Fettercairn 26 Year Old,325.0,70,0.45,464.29 per litre
 Ardbeg 1998,350.0,70,0.56,500 per litre
Glenesk 5 Year Old,350.0,75,0.4,466.67 per litre
 Glenesk 12 Year Old,350.0,75,0.4,466.67 per litre
 Glenmorangie 10 Year Old,350.0,100,0.57,
 Glen Spey 8 Year Old,350.0,75,0.4,466.67 per litre
 Glen Spey 8 Year Old,350.0,70,0.4,500 per litre
 Highland Park 18 Year Old,350.0,70,0.43,500 per litre
Loch Dhu 10 Year Old,350.0,100,0.4,
 Strathmill 15 Year Old,350.0,70,0.54,500 per litre
 Glenesk 1982,350.0,70,0.4,500 per litre
 Lagavulin 12 Year Old,350.0,70,0.57,500 per litre
 Highland Park 1978,350.0,70,0.43,500 per litre
 Glenmorangie 1993,350.0,70,0.57,500 per litre
 Glenfarclas 8 Year Old,350.0,75,0.4,466.67 per litre
 Longrow 1990,350.0,70,0.46,500 per litre
 Glen Elgin 1998,350.0,70,0.61,500 per litre
 Laphroaig 10 Year Old Cask Strength,350.0,70,0.58,500 per litre
Glenfarclas 175th Anniversary (1836-2011),350.0,70,0.43,500 per litre
 Glenfarclas-Glenlivet 7 Year Old,350.0,75,0.4,466.67 per litre
 Glenrothes 1988,350.0,70,0.43,500 per litre
 Glen Spey 8 Year Old,350.0,75,0.4,466.67 per litre
 Glen Spey 8 Year Old,350.0,75,0.4,466.67 per litre
 Glenesk 12 Year Old,350.0,75,0.4,466.67 per litre
 Glenesk 12 Year Old,350.0,75,0.4,466.67 per litre
 Glenmorangie 1992,350.0,70,0.57,500 per litre
 Glenesk 12 Year Old,350.0,75,0.4,466.67 per litre
 Ardbeg Perpetuum,350.0,70,0.49,500 per litre
 Glenfarclas 8 Year Old,350.0,75,0.4,466.67 per litre
Highland Park Ice 17 Year Old,350.0,70,0.54,500 per litre
 Glen Esk 1984,350.0,70,0.49,500 per litre
 Highland Park 18 Year Old,350.0,70,0.43,500 per litre
 Knockando Extra Old Reserve,350.0,70,0.4,500 per litre
 Forties 1975,350.0,70,0.4,500 per litre
 Ardbeg 1990,375.0,70,0.46,535.71 per litre
 Highland Park 12 Year Old,375.0,75,0.4,500 per litre
 Ord 12 Year Old,375.0,75.7,0.4,495.38 per litre
 Dalmore 12 Year Old,375.0,100,0.43,
Ledaig 1974,375.0,70,0.43,535.71 per litre
 Forties 1975,375.0,70,0.4,535.71 per litre
Lagavulin 1996 Distillers Edition,375.0,70,0.43,535.71 per litre
 Highland Park 12 Year Old,375.0,75,0.4,500 per litre
 Highland Park 12 Year Old,375.0,75,0.4,500 per litre
 Highland Park 12 Year Old,375.0,75,0.4,500 per litre
 Deanston Mill,375.0,75,0.4,500 per litre
 Blair Athol 1993,375.0,70,0.58,535.71 per litre
 Clynelish 1993,375.0,70,0.52,535.71 per litre
 Dalmore 12 Year Old,375.0,100,0.43,
 Dalmore 12 Year Old,375.0,100,0.43,
 Bowmore 1988,395.0,70,0.48,564.29 per litre
 Clynelish 14 Year Old,399.0,70,0.43,570 per litre
 Glenesk 1984,399.0,70,0.43,570 per litre
 Glen Grant 15 Year Old,399.0,75.7,0.4,527.08 per litre
 Glendronach 8 Year Old,399.0,75,0.4,532 per litre
 Glen Spey 21 Year Old,399.0,75,0.55,532 per litre
 Highland Park 12 Year Old,399.0,75,0.43,532 per litre
 Linkwood,399.0,70,0.43,570 per litre
 Glenturret 8 Year Old,399.0,75,0.43,532 per litre
 Dalwhinnie 8 Year Old,399.0,75,0.4,532 per litre
 Inchgower 1993,399.0,70,0.62,570 per litre
 Mortlach 10 Year Old,399.0,70,0.6,570 per litre
 Octomore 5 Year Old,399.0,70,0.59,570 per litre
 Glenfarclas 5 Year Old,399.0,75,0.43,532 per litre
 Glenfarclas 5 Year Old,399.0,75,0.43,532 per litre
 Glenturret 8 Year Old,399.0,75,0.43,532 per litre
 Glenturret 8 Year Old,399.0,75,0.43,532 per litre
 Strathisla 12 Year Old,399.0,75,0.4,532 per litre
 Highland Park Odin,399.0,70,0.56,570 per litre
 Macallan Rare Cask,399.0,70,0.43,570 per litre
 Knockando 1976,399.0,75,0.43,532 per litre
 Knockando 1970 Extra Old Reserve,399.0,75,0.43,532 per litre
 Fettercairn 875,399.0,75,0.43,532 per litre
 Glencadam St. Michael,399.0,70,0.4,570 per litre
 Auchentoshan 18 Year Old,399.0,75,0.43,532 per litre
 Linkwood 1982,399.0,70,0.64,570 per litre
 Glenrothes 1985,399.0,70,0.56,570 per litre
 Mortlach 1984,399.0,70,0.6,570 per litre
 Caol Ila 1984,399.0,70,0.46,570 per litre
 Highland Park 8 Year Old,399.0,75,0.4,532 per litre
