ime,cena,kolicina,procent_alkohola,cena_na_enoto
Glen Moray 15 Year Old,48.75,70,0.4,69.64 per litre
 Cardhu Gold Reserve,41.95,70,0.4,59.93 per litre
 Glenlossie 10 Year Old,48.95,70,0.43,69.93 per litre
 Miltonduff 10 Year Old,48.95,70,0.43,69.93 per litre
 Tormore 13 Year Old,48.95,70,0.43,69.93 per litre
 Benromach Contrasts: Organic 2012,48.95,70,0.46,69.93 per litre
 Auchroisk 10 Year Old,49.95,70,0.43,71.36 per litre
 Classic Malts Strong Collection,49.95,60,0.43,83.25 per litre
Singleton of Dufftown 15 Year Old,49.95,70,0.4,71.36 per litre
Old Ballantruan 10 Year Old,49.95,70,0.5,71.36 per litre
Cardhu 15 Year Old,49.95,70,0.4,71.36 per litre
 Mortlach Rare Old,49.95,50,0.43,99.90 per litre
 Mortlach 12 Year Old,49.95,70,0.43,71.36 per litre
 Dalwhinnie Winter's Frost,49.95,70,0.43,71.36 per litre
 Knockando 2003,49.95,70,0.43,71.36 per litre
 Glenrothes 11 Year Old,49.95,70,0.43,71.36 per litre
 Dufftown 2009,49.95,70,0.46,71.36 per litre
Craigellachie 13 Year Old,50.45,70,0.46,72.07 per litre
Longmorn The Distiller's Choice,50.45,70,0.4,72.07 per litre
Benriach Peated Quarter Casks,50.95,70,0.46,72.79 per litre
 Tomintoul 15 Year Old,51.75,70,0.4,73.93 per litre
 Benrinnes 15 Year Old,51.95,70,0.43,74.21 per litre
Glenfarclas 105°,51.95,70,0.6,74.21 per litre
 Glenfarclas 12 Year Old,52.25,100,0.43,
 Glenallachie 9 Year Old,52.25,70,0.48,74.64 per litre
 Beinn Dubh – The Black,52.95,70,0.43,75.64 per litre
Glen Moray Rhum Agricole Finish Project,52.95,70,0.46,75.64 per litre
 Glen Elgin 2006,52.95,70,0.46,75.64 per litre
 Aultmore 9 Years Old,52.95,70,0.48,75.64 per litre
 Glentauchers 2004,53.25,70,0.43,76.07 per litre
 Balvenie 14 Year Old,53.95,70,0.43,77.07 per litre
Macallan 12 Year Old Double Cask,53.95,70,0.4,77.07 per litre
Glenrothes Whisky Maker's Cut,53.95,70,0.49,77.07 per litre
Glenfarclas 15 Year Old,54.95,70,0.46,78.50 per litre
 Glenlivet 15 Year Old,54.95,70,0.4,78.50 per litre
 Glenfiddich Malt Master's Edition,54.95,70,0.43,78.50 per litre
 Glenallachie 8 Year Old,54.95,70,0.48,78.50 per litre
 Glentauchers 2005,54.95,70,0.43,78.50 per litre
 Aberlour Casg Annamh,54.95,70,0.48,78.50 per litre
House of Lords 12 Year Old,54.95,70,0.4,78.50 per litre
 Linkwood 10 Years Old,54.95,70,0.48,78.50 per litre
 Dailuaine 2008,54.95,70,0.58,78.50 per litre
 Glen Moray 2008,55.45,70,0.48,79.21 per litre
 Glenallachie 11 Year Old,55.95,70,0.48,79.93 per litre
 Glenallachie 11 Year Old,55.95,70,0.48,79.93 per litre
 Aultmore 2010,55.95,70,0.51,79.93 per litre
Glenallachie 10 Year Old Cask Strength Batch 4,55.95,70,0.56,79.93 per litre
 Balvenie 12 Year Old,56.95,70,0.48,81.35 per litre
Macallan 12 Year Old Triple Cask Matured,56.95,70,0.4,81.36 per litre
 Glenlossie 2006,56.95,70,0.46,81.36 per litre
 Craigellachie 2007,56.95,70,0.48,81.36 per litre
 Mortlach 2007,56.95,70,0.53,81.36 per litre
 Benriach Peated Cask Strength,57.95,70,0.56,82.79 per litre
Speyburn 15 Year Old,57.95,70,0.46,82.79 per litre
 Benromach 2009 Cask Strength,57.95,70,0.59,82.79 per litre
 Dailuaine 16 Year Old,58.95,70,0.43,84.21 per litre
Spey Fumare Cask Strength Batch 2,58.95,70,0.6,84.21 per litre
 Glenallachie 15 Year Old,56.45,70,0.46,80.64 per litre
Ballantine's Glentauchers 15 Years Old,59.95,70,0.4,85.64 per litre
 Speyside 10 Year Old,59.95,70,0.48,85.64 per litre
 Glenfiddich 14 Year Old,59.95,70,0.43,85.64 per litre
 Benrinnes 2007,60.95,70,0.56,87.07 per litre
 Glenburgie 2004,60.95,70,0.43,87.07 per litre
 Benromach Cask Strength Vintage 2009,60.95,70,0.57,87.07 per litre
 Inchgower 2007,60.95,70,0.56,87.07 per litre
 Auchroisk 2007,61.95,70,0.57,88.50 per litre
 Benrinnes 13 Years Old,61.95,70,0.48,88.50 per litre
 Glen Elgin 12 Years Old,61.95,70,0.48,88.50 per litre
 Glen Moray 2006,61.95,70,0.46,88.50 per litre
 Mannochmore 2008,61.95,70,0.55,88.50 per litre
 Cragganmore 2007,57.45,70,0.4,82.07 per litre
 Balvenie 14 Year Old,63.95,70,0.48,91.36 per litre
Spey 12 Year Old,63.95,70,0.46,91.36 per litre
 Glen Moray 2007,64.95,70,0.59,92.79 per litre
Macallan Quest,64.95,70,0.4,92.79 per litre
 Glenlossie 2009,64.95,70,0.56,92.79 per litre
 Miltonduff 2007,64.95,70,0.56,92.79 per litre
 Glen Elgin 2010,64.95,70,0.61,92.79 per litre
 Dailuaine 2008,65.25,70,0.48,93.21 per litre
Old Ballantruan 15 Year Old,65.95,70,0.5,94.21 per litre
 Mannochmore 2008,65.95,70,0.56,94.21 per litre
 Benrinnes 2007,65.95,70,0.57,94.21 per litre
 Dailuaine 2008,65.95,70,0.48,94.21 per litre
 Linkwood 15 Year Old,66.95,70,0.43,95.64 per litre
 Dalwhinnie 2004,67.95,70,0.43,97.07 per litre
 Tomintoul 15 Year Old,68.75,70,0.46,98.21 per litre
Glenfiddich 18 Year Old,68.95,70,0.4,98.50 per litre
 Glen Moray 8 Year Old,69.95,75,0.43,93.27 per litre
 Macallan 12 Year Old,69.95,70,0.4,99.93 per litre
 Macallan 12 Year Old,69.95,70,0.4,99.93 per litre
Macallan 12 Year Old Double Cask,69.95,70,0.4,99.93 per litre
 Glenlivet Nadurra Peated,69.95,70,0.62,99.93 per litre
 Longmorn 2007,69.95,50,0.59,139.90 per litre
 Glentauchers 2008,69.95,50,0.53,139.90 per litre
 Glenallachie 2008,69.95,70,0.57,99.93 per litre
 Aultmore 2008,69.95,70,0.46,99.93 per litre
 Benrinnes 2008,69.95,70,0.46,99.93 per litre
Personalised 10 Year Old Speyside Scotch Whisky,69.95,70,0.54,99.93 per litre
 Glen Elgin 2008,69.95,70,0.56,99.93 per litre
 Aberlour 16 Year Old,71.95,70,0.4,102.79 per litre
 Linkwood 2007,71.95,70,0.54,102.79 per litre
 Mortlach 15 Year Old,71.95,70,0.46,102.79 per litre
 Tamdhu Batch Strength,72.95,70,0.58,104.21 per litre
Glen Moray 18 Year Old,73.75,70,0.47,105.36 per litre
 Glenburgie 2004,73.95,70,0.46,105.64 per litre
 Mortlach 2008,73.95,70,0.57,105.64 per litre
 Tamdhu Batch Strength,73.95,70,0.6,105.64 per litre
Benriach 16 Year Old,74.95,70,0.43,107.07 per litre
 Strathmill 2004,74.95,70,0.46,107.07 per litre
 Aultmore 2005,74.95,70,0.56,107.07 per litre
 Glen Elgin 2008,74.95,70,0.59,107.07 per litre
 Glen Moray 2008,74.95,70,0.53,107.07 per litre
 Aultmore 2005,74.95,70,0.55,107.07 per litre
 Strathmill 2006,74.95,70,0.46,107.07 per litre
 Glen Moray 2006,76.95,70,0.6,109.93 per litre
Speyburn 18 Year Old Anniversary Edition,77.95,70,0.46,111.36 per litre
 Glenallachie 2005,77.95,70,0.6,111.36 per litre
 Craigellachie 2006,77.95,70,0.52,111.36 per litre
 Tamdhu 15 Year Old,78.95,70,0.46,112.79 per litre
The Speyside 8 Year Old,79.95,75,0.43,106.60 per litre
 Aberlour A'Bunadh,79.95,70,0.61,114.21 per litre
 Mortlach 16 Year Old,74.95,70,0.43,107.07 per litre
 Aberlour A'Bunadh,79.95,70,0.61,114.21 per litre
 Macallan 2005,79.95,70,0.43,114.21 per litre
 Strathisla 2006,79.95,50,0.58,159.90 per litre
 Tormore 2003,79.95,50,0.57,159.90 per litre
 Glentauchers 2007,79.95,50,0.6,159.90 per litre
 Cardhu 2008,83.95,70,0.56,119.93 per litre
 Tomintoul 18 Year Old,84.95,70,0.4,121.36 per litre
 Cragganmore 2006,84.95,70,0.58,121.36 per litre
 Longmorn 18 Year Old,84.95,70,0.48,121.36 per litre
 Linkwood 2007,84.95,70,0.46,121.36 per litre
 Glenallachie 2007,85.95,70,0.65,122.79 per litre
Glenlivet 18 Year Old Batch Reserve,87.95,70,0.4,125.64 per litre
 Longmorn 2004,89.95,50,0.57,179.90 per litre
 Glenallachie 2008,89.95,70,0.52,128.50 per litre
 GlenAllachie 2006,91.95,70,0.61,131.36 per litre
 Inchgower 2001,91.95,70,0.46,131.36 per litre
Glenallachie 18 Year Old,94.95,70,0.46,135.64 per litre
Macallan Lumina,94.95,70,0.41,135.64 per litre
 Strathisla 2003,94.95,50,0.56,189.90 per litre
 Strathisla 2003,94.95,50,0.63,189.90 per litre
Macallan Classic Cut 2020 Limited Edition,94.95,70,0.55,135.64 per litre
Glenfarclas 21 Year Old,91.95,70,0.43,131.36 per litre
 Tomintoul 2004,96.95,70,0.59,138.50 per litre
 Glenrothes 1995,98.95,70,0.45,141.36 per litre
 Balvenie 17 Year Old,99.95,70,0.43,142.79 per litre
 Spey Chairman's Choice,99.95,50,0.4,199.90 per litre
 MacPhail's 21 Year Old,99.95,70,0.4,142.79 per litre
 Scarfes Bar 2001 Speyside,99.95,50,0.52,199.90 per litre
Glenlivet Code,99.95,70,0.48,142.79 per litre
 Braeval 2001,99.95,70,0.48,142.79 per litre
 Glenlivet Spectra,99.95,60,0.4,166.58 per litre
 Glenlivet 2007,99.95,70,0.65,142.79 per litre
Craigellachie 17 Year Old,101.0,70,0.46,144.29 per litre
Glenrothes 18 Year Old,103.0,70,0.43,147.14 per litre
 Glentauchers 1996,105.0,70,0.48,150 per litre
 Glenburgie 21 Year Old,107.0,70,0.43,152.86 per litre
 Singleton of Dufftown 2002,108.0,70,0.55,154.29 per litre
 Glenlivet 16 Year Old,110.0,70,0.56,157.14 per litre
