ime,cena,kolicina,procent_alkohola,cena_na_enoto
 SMWS 49.3 (St Magdalene),1100.0,75,0.63,"1,466.67 per litre"
 Glen Flagler 1970,1200.0,70,0.5,"1,714.29 per litre"
 Kinclaith 1966,1200.0,75,0.4,"1,600 per litre"
 Kinclaith 1967,1200.0,70,0.4,"1,714.29 per litre"
 Linlithgow 1982,1200.0,70,0.65,"1,714.29 per litre"
 Linlithgow 1975,1200.0,70,0.52,"1,714.29 per litre"
 Glenflagler 1972,1200.0,70,0.53,"1,714.29 per litre"
 Rosebank 1992,1200.0,70,0.55,"1,714.29 per litre"
 Auchentoshan 1965,1250.0,70,0.46,"1,785.71 per litre"
 Glenkinchie 1964,1250.0,75,0.4,"1,666.67 per litre"
 Auchentoshan 1966,1350.0,75,0.43,"1,800 per litre"
 SMWS 49.1 (St Magdalene),1350.0,75,0.65,"1,800 per litre"
 Auchentoshan 1966,1350.0,70,0.47,"1,928.57 per litre"
 Auchentoshan 1966,1350.0,70,0.43,"1,928.57 per litre"
 Auchentoshan 1966,1350.0,75,0.47,"1,800 per litre"
 Auchentoshan 1966,1350.0,75,0.43,"1,800 per litre"
 Auchentoshan 1966,1350.0,75,0.45,"1,800 per litre"
 Rosebank Ceramic 15 Year Old,1500.0,75,0.5,"2,000 per litre"
 Rosebank 1981,1500.0,70,0.61,"2,142.86 per litre"
 St Magdalene 1979,1500.0,70,0.64,"2,142.86 per litre"
 Rosebank 1990,1500.0,70,0.54,"2,142.86 per litre"
 Auchentoshan 1966,1500.0,75,0.43,"2,000 per litre"
 St Magdalene 1979,1500.0,70,0.64,"2,142.86 per litre"
 Auchentoshan 1965,1500.0,70,0.49,"2,142.86 per litre"
 St Magdalene 1964,1600.0,75,0.4,"2,133.33 per litre"
 St Magdalene 1964,1600.0,75,0.4,"2,133.33 per litre"
 St Magdalene 1964,1600.0,75,0.4,"2,133.33 per litre"
 Linlithgow 1973,1750.0,70,0.6,"2,500 per litre"
 Glen Flagler 1973,2000.0,70,0.46,"2,857.14 per litre"
 St Magdalene 1970,2000.0,70,0.58,"2,857.14 per litre"
 Ladyburn 1973,2000.0,70,0.42,"2,857.14 per litre"
 Littlemill 25 Year Old,1750.0,75,0.5,"2,333.33 per litre"
 Rosebank 1981,2500.0,70,0.61,"3,571.43 per litre"
 Littlemill 1950,2500.0,75,0.54,"3,333.33 per litre"
 Rosebank 12 Year Old,2500.0,75,0.43,"3,333.33 per litre"
 Littlemill 29 Year Old,2750.0,75,0.47,"3,666.67 per litre"
 St Magdalene 1964,3000.0,70,0.48,"4,285.71 per litre"
 Kinclaith 1965,3000.0,70,0.51,"4,285.71 per litre"
 Auchentoshan 1965,4000.0,70,0.41,"5,714.29 per litre"
 Bladnoch 29 Year Old,5000.0,70,0.41,"7,142.86 per litre"
 Kinclaith 1969,5500.0,70,0.47,"7,857.14 per litre"
 SMWS 98.1 (Inverleven),6000.0,70,0.58,"8,571.43 per litre"
 Littlemill 40 Year Old,6000.0,70,0.47,"8,571.43 per litre"
